# 从输入日志里人工挑的领域词 / 通用词：日志里选过 ≥2 次、词库与短语层都没有、且公开语料（LCCC + 中文维基）里出现过（隐私过滤：只在日志里出现的只留在个人词库）。
# 次数是语料次数，与 dict.tsv 词频同一尺度；语料不足 20 次的输入法 / 开发术语（上屏、候选框、模糊音）按 20 计，免得排到最后。读音全部给定（行数 / 长句 / 这俩 是多音字）。词\t次数\t拼音
看看	92841	kan kan
再也	16113	zai ye
在此	13722	zai ci
线上	7239	xian shang
最新	5088	zui xin
给出	2555	gei chu
做成	2314	zuo cheng
行数	1352	hang shu
尽可能	1292	jin ke neng
玩法	1242	wan fa
或者说	1116	huo zhe shuo
不合理	967	bu he li
中英	952	zhong ying
跳过	909	tiao guo
这俩	829	zhe lia
收起	562	shou qi
只需要	527	zhi xu yao
对不上	516	dui bu shang
不一致	446	bu yi zhi
设计图	349	she ji tu
对齐	302	dui qi
后端	285	hou duan
按理说	277	an li shuo
闲时	272	xian shi
中英文	241	zhong ying wen
数据包	241	shu ju bao
翻页	188	fan ye
平铺	140	ping pu
永乐大典	137	yong le da dian
指示器	116	zhi shi qi
源码	116	yuan ma
功耗	5132	gong hao
分词	83	fen ci
词库	78	ci ku
西格玛	70	xi ge ma
等一下	60	deng yi xia
自签	50	zi qian
长句	43	chang ju
详情页	30	xiang qing ye
组合键	21	zu he jian
上屏	20	shang ping
模糊音	20	mo hu yin
大模型	20	da mo xing
搜索框	20	sou suo kuang
架构图	20	jia gou tu
账套	20	zhang tao
候选框	20	hou xuan kuang
自签证书	20	zi qian zheng shu
过期时间	20	guo qi shi jian
带货	8000	dai huo
银杏叶	1000	yin xing ye
轻拂	800	qing fu
会议室	5000	hui yi shi
这辆	10000	zhe liang
母亲河	5000	mu qin he
吓倒	3000	xia dao
三份	5000	san fen
各部门	3000	ge bu men
在吗	5000	zai ma
在不在	5000	zai bu zai
最近怎么样	5000	zui jin zen me yang
回头见	5000	hui tou jian
拜拜	5000	bai bai
到家了吗	5000	dao jia le ma
你到家了吗	5000	ni dao jia le ma
我到家了	5000	wo dao jia le
我懂了	4500	wo dong le
了解了	4500	liao jie le
麻烦你了	4500	ma fan ni le
哈哈哈	4200	ha ha ha
太好笑了	4200	tai hao xiao le
真的假的	4200	zhen de jia de
是真的吗	4200	shi zhen de ma
啊这	4200	a zhe
说来听听	4200	shuo lai ting ting
后来呢	4200	hou lai ne
还有呢	4200	hai you ne
展开说说	4200	zhan kai shuo shuo
快告诉我	4200	kuai gao su wo
等我一下	3900	deng wo yi xia
马上来	3900	ma shang lai
马上到	3900	ma shang dao
我在路上	3900	wo zai lu shang
快到了	3900	kuai dao le
我先走了	3900	wo xian zou le
我先忙了	3900	wo xian mang le
晚点聊	3900	wan dian liao
一会儿聊	3900	yi hui er liao
等会儿聊	3900	deng hui er liao
有空再聊	3900	you kong zai liao
忙完找你	3900	mang wan zhao ni
回头说	3900	hui tou shuo
先这样	3900	xian zhe yang
改天聊	3900	gai tian liao
你忙吗	3600	ni mang ma
忙不忙	3600	mang bu mang
现在方便吗	3600	xian zai fang bian ma
有空吗	3600	you kong ma
有时间吗	3600	you shi jian ma
啥时候有空	3600	sha shi hou you kong
周末有空吗	3600	zhou mo you kong ma
今天有空吗	3600	jin tian you kong ma
明天有空吗	3600	ming tian you kong ma
我在外面	3600	wo zai wai mian
刚到家	3600	gang dao jia
刚下班	3600	gang xia ban
刚起床	3600	gang qi chuang
正在忙	3600	zheng zai mang
有点忙	3600	you dian mang
这会儿不方便	3600	zhe hui er bu fang bian
稍后回复你	3600	shao hou hui fu ni
吃了吗	3300	chi le ma
吃饭了吗	3300	chi fan le ma
中午吃啥	3300	zhong wu chi sha
晚上吃啥	3300	wan shang chi sha
要不要一起吃饭	3300	yao bu yao yi qi chi fan
一起吃饭吗	3300	yi qi chi fan ma
出去吃吗	3300	chu qu chi ma
点外卖吗	3300	dian wai mai ma
好饿啊	3300	hao e a
真好吃	3300	zhen hao chi
下次一起去	3300	xia ci yi qi qu
约个饭	3300	yue ge fan
今天我请客	3300	jin tian wo qing ke
咖啡喝不喝	3000	ka fei he bu he
来杯咖啡	3000	lai bei ka fei
喝点水	3000	he dian shui
别忘了吃饭	3000	bie wang le chi fan
记得吃饭	3000	ji de chi fan
别熬夜	3000	bie ao ye
记得带伞	3000	ji de dai san
天气真好	3000	tian qi zhen hao
好冷啊	3000	hao leng a
好热啊	3000	hao re a
出门了吗	3000	chu men le ma
今天好累	3000	jin tian hao lei
一起出去玩	2800	yi qi chu qu wan
周末出去玩	2800	zhou mo chu qu wan
要不要出去玩	2800	yao bu yao chu qu wan
去逛街吗	2800	qu guang jie ma
一起逛逛	2800	yi qi guang guang
看电影吗	2800	kan dian ying ma
一起看电影	2800	yi qi kan dian ying
去散步吗	2800	qu san bu ma
出来走走	2800	chu lai zou zou
要不要出来	2800	yao bu yao chu lai
什么时候出发	2800	shen me shi hou chu fa
几点见	2800	ji dian jian
在哪见	2800	zai na jian
发个定位	2800	fa ge ding wei
定位发我	2800	ding wei fa wo
我来接你	2800	wo lai jie ni
路上小心	2800	lu shang xiao xin
到了说一声	2800	dao le shuo yi sheng
下次吧	2600	xia ci ba
改天吧	2600	gai tian ba
再约	2600	zai yue
到时候再说	2600	dao shi hou zai shuo
我想想	2600	wo xiang xiang
不太确定	2600	bu tai que ding
还没定	2600	hai mei ding
应该没问题	2600	ying gai mei wen ti
还是不了	2600	hai shi bu le
这次不行	2600	zhe ci bu xing
下次一定	2600	xia ci yi ding
随时都行	2600	sui shi dou xing
你定吧	2600	ni ding ba
发生什么了	2400	fa sheng shen me le
你还好吗	2400	ni hai hao ma
别担心	2400	bie dan xin
别着急	2400	bie zhao ji
没关系的	2400	mei guan xi de
加油呀	2400	jia you ya
我支持你	2400	wo zhi chi ni
有事找我	2400	you shi zhao wo
随时找我	2400	sui shi zhao wo
想聊就聊	2400	xiang liao jiu liao
真替你开心	2200	zhen ti ni kai xin
我就知道你行	2200	wo jiu zhi dao ni xing
这也太强了	2200	zhe ye tai qiang le
太赞了	2200	tai zan le
开心开心	2200	kai xin kai xin
开心死了	2200	kai xin si le
今天心情不错	2200	jin tian xin qing bu cuo
今天真开心	2200	jin tian zhen kai xin
好烦啊	2000	hao fan a
有点烦	2000	you dian fan
有点郁闷	2000	you dian yu men
压力好大	2000	ya li hao da
困死了	2000	kun si le
我困了	2000	wo kun le
还没睡吗	2000	hai mei shui ma
怎么还没睡	2000	zen me hai mei shui
先睡啦	2000	xian shui la
我去睡了	2000	wo qu shui le
做个好梦	2000	zuo ge hao meng
明天再聊	2000	ming tian zai liao
上班了吗	1900	shang ban le ma
下班了吗	1900	xia ban le ma
我下班了	1900	wo xia ban le
还在加班	1900	hai zai jia ban
加班中	1900	jia ban zhong
今天忙吗	1900	jin tian mang ma
工作顺利吗	1900	gong zuo shun li ma
开会去了	1900	kai hui qu le
刚开完会	1900	gang kai wan hui
忙了一天	1900	mang le yi tian
终于下班了	1900	zhong yu xia ban le
放假啦	1900	fang jia la
终于放假了	1900	zhong yu fang jia le
开学了吗	1900	kai xue le ma
下课了吗	1900	xia ke le ma
我下课了	1900	wo xia ke le
作业写完了吗	1900	zuo ye xie wan le ma
考试怎么样	1900	kao shi zen me yang
复习得怎么样	1900	fu xi de zen me yang
发给我看看	1800	fa gei wo kan kan
给我看看	1800	gei wo kan kan
发我一下	1800	fa wo yi xia
发我一份	1800	fa wo yi fen
把链接发我	1800	ba lian jie fa wo
截图发我	1800	jie tu fa wo
发个截图	1800	fa ge jie tu
发张照片	1800	fa zhang zhao pian
拍给我看看	1800	pai gei wo kan kan
你收到了吗	1800	ni shou dao le ma
看到了吗	1800	kan dao le ma
图片加载不出来	1800	tu pian jia zai bu chu lai
再发一次	1800	zai fa yi ci
没看清	1800	mei kan qing
能再说一遍吗	1800	neng zai shuo yi bian ma
语音方便吗	1800	yu yin fang bian ma
打字吧	1700	da zi ba
我现在不方便接电话	1700	wo xian zai bu fang bian jie dian hua
给你打电话吗	1700	gei ni da dian hua ma
晚点打给你	1700	wan dian da gei ni
接一下电话	1700	jie yi xia dian hua
刚才没看到消息	1700	gang cai mei kan dao xiao xi
刚看到消息	1700	gang kan dao xiao xi
不好意思刚看到	1700	bu hao yi si gang kan dao
回复晚了	1700	hui fu wan le
消息太多没看到	1700	xiao xi tai duo mei kan dao
网络不好	1700	wang luo bu hao
没信号	1700	mei xin hao
网卡了	1700	wang ka le
刚刚掉线了	1700	gang gang diao xian le
你说啥	1700	ni shuo sha
我没听清	1700	wo mei ting qing
再说一遍	1700	zai shuo yi bian
声音有点小	1700	sheng yin you dian xiao
这个怎么样	1600	zhe ge zen me yang
你看这个	1600	ni kan zhe ge
我觉得不错	1600	wo jue de bu cuo
不太行	1600	bu tai xing
有点贵	1600	you dian gui
值得买吗	1600	zhi de mai ma
划算吗	1600	hua suan ma
要不要买	1600	yao bu yao mai
买哪个	1600	mai na ge
